tauStart_ns: 0
tauEnd_ns: 100
tauStart_bin: 0
tauEnd_bin: 607
 
fit_A, fit_gamma, fit_gamma_err, fit_bg
1.607630663587741870e-01, 2.489366370907479808e-01, 4.257911289700302859e+00, 0.000000000000000000e+00
1.298917081859475742e+00, 5.701494785331135962e-01, 6.498700201661643527e-01, 8.334045337819194488e-03
3.596185336519369447e+00, 1.338797893553192175e-01, 4.537371434478420368e-02, 2.826820396411016123e-01
4.572991648059385739e+00, 5.755712897661579008e-01, 3.377998268411198879e+00, 1.927961774549615329e-02
7.613981151509972456e+00, 1.773951100406889192e-01, 3.508736080524267609e-02, 5.259172976043923198e-01
1.993556181640926184e+00, 4.491292326364816623e-02, 4.878428512998998490e-01, 8.358429006840178976e-02
2.225483074465739008e+00, 2.463200212886132445e-01, 1.064495691869071364e-01, 5.750825296542008691e-02
4.599225376841276081e+00, 4.600031498615714948e-02, 5.539139599689632543e-02, 4.845867487657768979e-01
2.555452320592677129e+00, 5.787509937419639261e-01, 2.222474639652692874e-01, 7.181896838675233541e-03
1.852622615307261578e+00, 4.588550839909867618e-02, 1.620722858629059793e-01, 1.851752001910382250e-01
2.188055622422553803e+00, 1.847805739117787394e-01, 1.469840619431006246e-01, 2.653177833356358886e-02
3.423821066891106213e-01, 6.793213818217251621e-02, 2.473207046066796089e+00, 0.000000000000000000e+00
6.671062156123596765e+00, 5.446870337047184929e-01, 8.655440905288419584e-01, 3.002114476238623014e-02
1.027402650677454954e+00, 5.264951036412943153e-02, 2.535643754522722004e-02, 1.054425215938798871e-01
4.092669034540259432e+00, 1.994762791241437294e-01, 1.415378478908236037e-01, 1.310076818358423545e-01
1.568121328585578289e-01, 3.985176539824180492e-02, 2.691766043674408415e-01, 2.849354640495503979e-02
2.914810865577427190e+00, 3.328032620978025879e-01, 6.309375593871811017e-01, 2.098008563172909860e-02
1.414939673234075768e+00, 2.643293372833892263e-02, 1.806441716516569637e-02, 0.000000000000000000e+00
2.537670520931024409e+00, 4.552234212382748335e-02, 1.662461306023104227e-02, 2.788269604296882420e-01
2.573324697345374723e+00, 2.996065501712151802e-01, 7.257887658685537868e-01, 2.137064038879422576e-02
1.793361187506479482e+01, 5.230601277873967586e-02, 5.591819325069406765e-02, 1.331999360586550551e+00
8.858109093750315965e-01, 1.629772776261181610e-01, 4.203724092213430297e-02, 5.210648674780534416e-03
4.449502451517901164e-02, 3.110722773083761106e-01, 4.566498765015223427e+01, 2.053337956537701608e-03
7.689846029095800395e-01, 4.506468751777244208e-02, 1.681642219658904536e-01, 1.371588944874103377e-01
2.091350209384542858e+00, 5.685459947675992609e-01, 3.500754779028918406e+00, 4.183658018847619120e-02
3.377599960717271310e-01, 3.092249671507068393e-02, 2.329856813842918692e-02, 1.502591063821434071e-02
5.476877167227574006e+00, 3.515158563376925005e-01, 1.419022783553249289e-01, 1.214630075959675509e-01
1.948053432253108230e+00, 5.534104837878243283e-02, 9.226018575480229855e-02, 1.030744020597034599e-01
3.215790294862785004e+00, 1.489856392173722899e-01, 2.018933279616288989e-01, 1.199526735207905453e-01
3.994207459398758875e+00, 6.410917463269362460e-02, 8.774982315524945328e-03, 1.946403163593954377e-01
4.151797918018603539e+00, 1.811938067939632413e-01, 3.169092655150977655e-02, 8.236725352592787208e-02
1.774638577920735871e+00, 5.761306633717672154e-02, 1.324191587607096050e-02, 1.314988229541817211e-01
7.167955911499056754e+00, 4.107309142481699871e-01, 3.288381635394551084e-01, 4.881280136198493796e-02
1.012013487462634753e+00, 4.700429734374551166e-02, 2.317738325409729808e-02, 1.495325018066834821e-01
3.406637262127828247e+00, 1.686860652065990396e-01, 2.234242073787049421e-01, 1.601970772495875106e-01
2.546329289864079914e+00, 1.023760089137603774e-01, 3.260354311443278141e-02, 1.783943361185121868e-01
2.145303990524818349e+00, 5.300796570683867781e-01, 1.435273778276904555e-01, 1.356584294632657596e-02
3.771203157387717830e+00, 4.475714299974341281e-02, 6.400763517067847852e-02, 6.824800963309605173e-01
2.770123482701635442e+00, 5.441912605553147486e-01, 3.232022218553404436e+00, 1.976012019288647670e-02
1.102591459117738149e+00, 4.671056013483817354e-02, 1.471531147591080557e-02, 1.115480502302589189e-01
9.197162210564401308e-01, 2.105914045109512633e-01, 4.434558738845826853e-01, 3.848540811279708030e-03
3.742675243528163498e-01, 4.755924835104487214e-02, 1.306726119078252257e-01, 0.000000000000000000e+00
6.405264099943646094e+00, 4.770129515264198705e-01, 6.454730153354316657e-01, 2.811442588977956097e-02
4.186891960558574155e+00, 6.134585321098766364e-02, 5.805798279508522786e-02, 3.191972616297789611e-01
4.699039546886310426e+00, 1.316052323515232436e-01, 2.267364634286744840e-01, 8.224450544372026439e-02
3.191543297732930995e+00, 4.510952153245838953e-02, 9.343710097065525966e-02, 1.247138947898080164e-01
2.247125024017111006e+00, 4.064056843786339468e-01, 1.410108930638031277e-01, 1.161928153811712591e-02
4.824848194796705236e+00, 2.396502753881579184e-01, 2.261003013997826272e-01, 3.081989211901942638e-01
3.191462397108511428e+00, 5.778578537801094123e-02, 2.589908911942484515e-01, 2.577192765603846802e-01
3.457160492241805994e+00, 6.124027796575182842e-02, 1.670845700195541794e-02, 6.622826390581676437e-02
2.297731272061500074e-01, 2.117012894248777033e-01, 5.099147143118187842e+00, 2.422790926213532706e-03
4.081180685232986272e-01, 3.951265141770706757e-01, 1.825968162021622820e-01, 1.762812148509613694e-02
1.861164058895475870e+00, 5.156383960527323451e-02, 2.186816495170282038e-01, 1.125449096373003777e-01
7.387725999570123880e-01, 1.372372913243113390e-01, 7.809264453925528204e-02, 2.624475473368590231e-03
2.347108523844049444e+00, 3.470417318424190434e-02, 2.503529781091542450e-01, 0.000000000000000000e+00
1.312212811519910094e+00, 3.998467368257917487e-01, 1.071436172222408389e+00, 2.593290783971757135e-03
8.364263062770838086e-01, 6.740795133049042043e-02, 4.278667066734488655e-02, 3.452909671570087574e-02
2.994091120656604321e+00, 2.846326888740143835e-01, 2.885365923632958740e-01, 1.410256204576740627e-02
8.819680550324608959e+00, 5.510033383859216927e-02, 4.258162906732634867e-02, 4.645811840803285020e-01
2.356692272722801462e+00, 1.220803397739187585e-01, 4.512617038582930062e-01, 1.425634109056565513e-01
1.148711801336723237e+00, 3.734613426714227663e-02, 1.067562552250046065e-01, 6.732961405121483389e-02
3.502960970870747204e+00, 3.448018399174658244e-01, 1.711306976435411908e-01, 1.207423040799515158e-02
8.255982797342031887e+00, 4.694057442832348659e-02, 3.635040155975783477e-03, 3.143939185605114095e-01
1.617489998959280584e+00, 2.225216757811758483e-01, 1.198614877086877861e+00, 3.910590143239261324e-02
1.974993028165356712e+00, 4.635154463579119893e-02, 3.389901876594179908e-02, 7.652274002228004468e-02
4.249762549088077712e+00, 3.782046545247852443e-01, 1.208997202745149685e-01, 6.035799994492821452e-02
2.301638023841721559e+00, 4.232858416059101514e-02, 2.120342575314532185e-02, 1.543811769061845529e-01
2.265772560727950413e+00, 6.379454649985671910e-01, 1.745887406242117912e+00, 4.205596626118835411e-03
2.241374225120225461e+01, 4.967811765842741756e-02, 7.814984602269846314e-02, 9.512788090761424842e-01
4.153643343496273843e-01, 1.289491381143378634e-01, 2.043900948463172329e-01, 1.032387084690348025e-02
1.000000000000000021e-03, 7.623796683482964909e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
2.604906492863097167e+00, 5.661969119487714891e-02, 1.031045498068560579e-01, 2.776188705865375098e-02
3.709664936906854393e+00, 8.456577060727402118e-02, 7.158876706571636050e-02, 1.079529754233842093e-01
1.496492235653364533e+00, 3.077545651687327855e-01, 3.325872113400272223e-01, 5.022700769691084907e-03
1.250002555902139934e+00, 8.112012256870849702e-01, 1.471378447820409274e+00, 0.000000000000000000e+00
8.632504592802583421e-01, 1.019230877905986377e-01, 1.711525703990390002e-01, 3.468928840235326744e-02
2.273152082902334392e+00, 1.918411239617856534e-01, 1.425782277795338837e+00, 4.477846019026388708e-02
6.878552465078272782e+00, 4.570896692793470495e-02, 1.285398065417626100e-02, 1.586287288949348173e-01
1.085432363060006189e+01, 3.084670747002362656e-01, 9.802983065403544360e-01, 3.113769451337560293e-02
2.839062156355159350e-01, 3.578488384122664734e-02, 3.589934172459569584e-01, 0.000000000000000000e+00
8.066287678425227980e+00, 5.160215928680700337e-02, 1.522190909734350284e-01, 4.163369863119815162e-01
7.057379367277097693e+00, 3.752216205077580358e-01, 5.422997777033001787e-01, 7.810820252404458708e-02
2.857850588737037789e+00, 6.529281056112758164e-02, 9.412928983534062446e-03, 5.911017711930798002e-02
3.124621668805909636e+00, 2.735899915572194141e-01, 1.735619792828445584e+00, 4.645185114313616498e-02
7.190491467689827942e+00, 6.723295146942079303e-02, 3.010581330095458280e-02, 4.094744612783510207e-01
3.111639272005504164e+00, 7.801198579786731147e-01, 2.167021275899276844e+00, 4.036793578268836787e-03
7.511184992735654653e+00, 6.916673006368545540e-02, 6.265686910795000009e-02, 1.671993079424068940e-01
4.141617637180132205e-01, 1.273312602237985647e-01, 2.121210979075371372e-01, 1.000032744177524295e-02
2.473872379595334348e+00, 6.394611947814667907e-01, 1.329771839494657382e+00, 5.998683667043373108e-03
2.685812343680671788e+00, 5.604824334385986179e-02, 1.412436799119993515e-02, 1.728879888015556754e-01
3.142483998857878991e+00, 3.629698953304232867e-01, 5.105516390339794874e-01, 6.818678800158212150e-02
1.279015588786230317e+01, 5.620425951855463620e-02, 3.672135209865882710e-01, 6.161530881325248954e-01
2.004899150653186801e+00, 4.776023577641165807e-01, 8.417612444580756303e+00, 6.449537209614978131e-03
3.994517739417309254e+00, 7.256751388645184264e-02, 1.020673988684341581e-02, 9.566845529026735129e-02
6.543004039717330578e+00, 4.004881117340776675e-01, 1.951460882085316317e-01, 6.008218163197196621e-02
5.158249249979848905e+00, 3.251488486663564603e-02, 2.238221995170208978e-01, 9.667845098594347875e-02
1.991280010408400969e+00, 3.415198638976236767e-01, 1.318917921526149006e-01, 5.847708810767139609e-02
5.051748030602883688e+00, 6.242710103881507488e-02, 3.916523252592507554e-02, 3.303703336015432757e-01
1.893471187632466801e+00, 2.199027986374406662e-01, 1.103979778096718517e-01, 3.491137511480364025e-02
3.464064289342778213e+00, 4.776599203598195370e-02, 1.261311351586994790e-02, 2.858507759249019897e-01
4.670296778322386544e+00, 6.479927678124960400e-01, 1.079458430927565937e-01, 1.266479110780887110e-02
3.398967300896902799e+00, 4.395189420837909700e-02, 7.051759286782944940e-03, 7.741155071896733963e-02
1.714916725620297511e+00, 7.973663367262675550e-01, 1.679934811892554114e+00, 1.959633582944635393e-03
5.259079842001235683e+00, 3.509822497148638171e-02, 1.386482339452609069e-02, 2.704596588102845534e-01
2.115341128606362364e+00, 1.051960618742134868e-01, 1.599818878110293441e-01, 3.959230267123646507e-02
2.214408766615445945e+00, 5.499403279139969403e-01, 1.127585348437562862e+00, 1.187861684640327195e-02
3.980709194588256117e-01, 3.228554352350152673e-02, 7.353158551166352752e-02, 5.219325464793505426e-02
4.451346033924562740e+00, 2.030793543033637405e-01, 8.359405092189821362e-02, 1.574747284407766179e-01
5.709268908902654260e+00, 5.239752081444241233e-02, 1.220449704289829074e-02, 2.475796960515575240e-01
9.539282863055555950e+00, 5.964117653622828114e-02, 1.741508952769699192e-02, 2.905390731060295550e-01
1.068600833588904209e+01, 5.083900011143982489e-02, 1.368317182985692021e-02, 5.795138501715766388e-01
3.079654101468222382e+00, 4.049973866911475429e-01, 1.006151728867825890e+00, 2.083498087836009593e-02
1.458144800951684861e+00, 5.301986512205514313e-02, 2.802701968946507555e-02, 8.110627860480600082e-02
1.219329455296556564e+00, 2.919131621969812129e-01, 7.320420968076279955e-01, 5.591198088997788654e-03
6.465904204695911872e+00, 5.358472317947483854e-02, 9.371350984256572592e-03, 3.156393845201763138e-01
4.158112976852554432e+00, 6.559123735389329468e-01, 1.009030619698232600e+00, 1.179836500893986263e-02
1.006630061987727975e+00, 5.339937466508221098e-02, 2.263313223482938119e-01, 1.769472647992988146e-02
1.306622763946958532e+00, 7.177210932404545218e-01, 1.777954136554758424e+00, 7.915313721874537786e-03
3.164457892275058803e+00, 5.580148436655896910e-02, 2.190329337601216314e-02, 2.030508537378740430e-01
3.837389842434827170e+00, 4.576857987673287886e-01, 1.746320667484442479e+00, 7.634998389617870564e-03
4.928350396349247653e+00, 4.837989800380991523e-02, 8.920919538783660119e-02, 5.269838051921242883e-01
2.779150861125495586e-01, 1.333960931090713842e-01, 3.906730183750430907e-01, 2.612073013006206701e-03
1.512242148216708548e+00, 5.504963536232817395e-02, 1.011148229205552536e-02, 4.352230520719179568e-02
3.610804432765239547e+00, 5.443033905718065446e-01, 2.192454138244218420e+00, 9.013895724501589865e-03
1.950819613171072220e+00, 6.946022885474545383e-02, 1.137149357985769438e-01, 3.912107725526331459e-02
3.968398833170370565e+00, 5.020526101700982791e-01, 2.618948401590215358e+00, 7.351699514868354282e-03
3.959001476344185644e+00, 6.336791316064312174e-02, 1.229000060161384439e-02, 1.822878398359819019e-01
1.749952616054057497e+00, 2.721035095212580579e-01, 5.274830412070277141e-01, 1.679958042856312742e-02
6.547806948791246029e+00, 4.983551483237467356e-02, 2.639613119296074090e-02, 3.377093108879801742e-01
5.160185836308479601e+00, 4.950863654883519427e-01, 4.202586279829805815e-01, 3.716081464859499750e-02
1.001577918500298869e+00, 4.449583151049019136e-01, 2.758547667718834973e+01, 3.368102085742615687e-03
1.487882532702428762e+00, 6.267426571844923744e-02, 1.804861723073371560e-01, 1.356399171795674152e-01
6.149905654463118765e+00, 4.479945536015146890e-01, 2.206567866793990529e+00, 5.831988290318205342e-02
1.820151893666363430e+00, 7.491953497362469072e-02, 8.892997176154211758e-02, 1.965791423959521167e-01
2.563656094509645822e+00, 2.831314263114366181e-01, 2.956109864782945351e-01, 9.949275651899149031e-02
5.903683568518653502e+00, 7.196944644773320410e-02, 4.403672383275025054e-02, 3.479716725485795248e-01
3.150582030461190008e+00, 8.148167939897766887e-01, 2.085265511789466675e-01, 9.073991151684394213e-03
5.547151523861788114e+00, 5.093030450785435842e-02, 1.167281781531620405e-01, 4.248037083312857232e-01
4.502888429298984363e+00, 7.041074628945768188e-01, 2.755087595977958048e-01, 1.084218370255082484e-02
4.646374318847439788e+00, 7.176945337642216816e-02, 4.926394884539082170e-02, 1.220612721061167111e-01
2.990859434055533228e+00, 3.258927520245895049e-01, 1.646371203899775482e-01, 4.027218163247123228e-02
2.843215156311953873e+00, 9.410245697496841255e-02, 2.292203569487630960e-02, 1.661881083563697958e-01
1.582773147424435756e+00, 2.246726509250829285e-01, 5.234589503516652309e-01, 6.461371557571885839e-03
1.780815299136270369e+01, 5.579167631343198014e-02, 4.497926519591331773e-02, 9.208888397867387443e-01
3.656357607057181269e+00, 6.359400332532296751e-01, 1.274252711492001700e+00, 3.372547134452927309e-02
1.134854011596314649e+01, 6.069273321205194416e-02, 2.132007444917713435e-01, 5.618872256085384320e-01
2.731982240602685241e+00, 4.802352330291569382e-01, 4.763481542145282521e-01, 9.364103897512113597e-03
2.741216602913677303e+00, 5.381024048430597256e-02, 3.333849753705585978e-02, 1.540144196692991574e-01
1.889682466436463093e+00, 5.753473796583912225e-01, 3.682327319551215616e+00, 4.831167636828265222e-02
9.929795890015359339e-01, 6.054592428021436656e-02, 1.596454267973464874e-02, 1.012403716081273011e-02
4.964941341363168448e+00, 4.685804990181163809e-01, 4.258101299406570894e-01, 3.169873702250706332e-02
2.580369626122168469e+00, 3.798617382277878762e-02, 2.116119427990190982e-01, 1.277491186093835385e-01
1.637742407811635603e+00, 4.164297169794434761e-01, 1.513234235472394218e+00, 1.718600804354622133e-02
1.589810941223761986e+00, 5.240001771659100194e-02, 3.860709467623332225e-01, 6.101252695929942904e-02
1.562455272437073051e+00, 2.157067372220874135e-01, 7.471364411612634038e-02, 1.910339751518580140e-02
3.271319837472921765e+00, 6.431575506078336668e-02, 2.207856624648037447e-01, 1.621588116237301092e-01
4.397962804344340171e+00, 1.050185218113189323e-01, 8.192485190727107069e-02, 1.813146972851460148e-01
8.405921450160583674e+00, 6.096452595352449405e-02, 8.369615788000725476e-02, 2.948661196291176845e-01
3.043798868970278182e+00, 3.514079696750079584e+00, 1.109257434156458499e+00, 1.124112959436266747e-02
5.675918070790276770e-01, 5.668580054521254324e-02, 1.489164006893830272e-01, 5.905600747048400136e-03
1.739118240935666748e-01, 5.526469817813460805e-01, 5.834278246826000158e-01, 0.000000000000000000e+00
1.441176920619112511e+00, 1.400424778956670169e+00, 1.023985113073361575e+01, 0.000000000000000000e+00
1.729938528223549932e-01, 3.607946306036767248e-01, 1.645530193229793436e+00, 0.000000000000000000e+00
7.782539027665273945e-01, 4.073377927726752890e-01, 1.819604859211259917e+00, 0.000000000000000000e+00
1.988853946045410770e-01, 2.463065088872316843e-01, 7.079243907013696457e+01, 0.000000000000000000e+00
4.325094370704603897e+00, 5.840203474345906365e-02, 1.543887874004831566e-02, 1.960102478917473134e-01
1.904758174594346209e-01, 6.080025252925262969e-01, 7.187665729626645517e-01, 0.000000000000000000e+00
1.734490841154563423e+00, 5.495672646430301012e-02, 1.309822164449771578e-02, 2.006878276831708663e-01
8.784788647997525679e-01, 6.922966776012705326e-02, 2.373157568285453461e-02, 1.459350096904179009e-02
1.255775116243338374e+00, 2.587845047498659248e-02, 5.376876456279465477e-02, 4.982413721667477285e-02
1.923416096684897214e+00, 1.790901304379013959e-01, 2.762501649385655789e-01, 8.734247768373226695e-02
1.393561701918804685e+00, 4.687656037949416293e-02, 6.634006396809551953e-01, 0.000000000000000000e+00
4.020908118182737745e+00, 5.314780316750680189e-01, 9.576201240827300509e+00, 0.000000000000000000e+00
6.456572722981505308e+00, 6.294093758142549344e-02, 1.671189164566616592e-02, 2.503940375159815490e-01
7.349518044653722271e+00, 9.005003910284581359e-01, 8.473936788166887002e-01, 1.417259036222081811e-02
1.330856110320070762e+01, 5.219215789078105600e-02, 1.669566210995851105e-02, 4.997316902996429833e-01
1.567119101921682633e-01, 1.726526419685203428e-01, 3.432557452146247079e-01, 2.119266771511715830e-02
2.087086941016437880e+00, 5.223309560067794510e-02, 4.016615236322990112e-02, 3.625635205438382802e-01
3.263858998404686851e+00, 5.453917636072496133e-01, 1.232559694705503139e-01, 1.108980644067969305e-02
8.170666009895483084e-01, 4.794893084470749217e-02, 4.964938461737129771e-02, 9.935999629406783162e-02
4.406989544723467489e-01, 7.197500545368948899e-01, 1.681663125135952086e+01, 1.954904822011811847e-03
3.968218260430139144e-01, 5.023429067349517441e-01, 2.033311691396924470e+00, 0.000000000000000000e+00
1.000000000000000021e-03, 5.552699307320365563e+01, 6.034582836935744126e+03, 1.851846854703838394e-03
2.459858199824170033e-01, 2.934829857429853417e-02, 2.827007345328955701e-01, 0.000000000000000000e+00
5.822297226701701467e-01, 2.247544513042277203e-01, 1.159522830754179346e+01, 0.000000000000000000e+00
9.734978783910937850e+00, 4.421950387078911471e-02, 5.181778704427270066e-02, 3.786055607236549769e-01
3.979597023234809239e+00, 1.744853244128564684e-01, 1.244724115320579444e-01, 1.265468058446885258e-01
1.301445992358897241e+00, 4.351422461924406293e-02, 4.169225923134025069e-01, 3.735984032628567042e-02
7.176603342123091700e+00, 5.460266835413343234e-01, 1.136089846609534687e-01, 3.057922908299083933e-02
6.003176957085745613e+00, 9.480147850268162701e-02, 3.679819033007307449e-02, 2.318346406248277536e-01
1.020873446417900343e+00, 3.762024947416177656e-01, 1.750836992966186667e+00, 0.000000000000000000e+00
1.261338318946444659e+00, 1.394867811499826693e-01, 3.811753012786620043e-01, 3.743898679457571821e-02
1.088300059145875576e+00, 5.473172592123633912e-02, 2.115815074982395905e-01, 2.772865256718158675e-03
9.543389359695309437e+00, 1.755941593124211164e-01, 9.860269707268221051e-02, 9.833869820650659177e-02
4.924560488682764969e+00, 1.425535419302516871e-01, 1.199077689738987235e-01, 4.345434625917329874e-02
1.672651806560511822e+00, 5.659610909234800286e-02, 1.326435973548608926e-01, 8.025497459439900894e-02
2.695441477877599912e+00, 7.391900996206438590e-01, 1.414169844895118322e+00, 8.280388104167432997e-03
7.486908977659320286e+00, 6.632726934323826540e-02, 1.388674531264639245e-01, 4.401900678806031086e-01
4.391942090393420095e+00, 1.604889538525708648e-01, 1.878997313499093935e-01, 1.333763879138894770e-01
1.162266510658626295e+01, 5.518895100467578752e-02, 5.307321309292310774e-03, 3.197391516608181217e-01
3.142361708854516156e+00, 3.518135446529835342e-01, 7.520480660811875717e-01, 2.251278290157736339e-02
